id,source_files,source_lines,owner,claim_type,subtype,claim_text,expected_value,doc_says,code_says,vps_says,status,suggested_fix,notes
c-0011,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,35,owned,concrete,fallback_tier,Whisper is a fourth transcript tier used only if the first three methods fail.,4th tier,"
- Do *not* repackage the result as a Claude Code skill / plugin. This stays as a personal CLI inside this repo.
- Do *not* replace the existing 3-method transcript fallback chain. Whisper is added as a 4th tier, fired only when the others fail.
- No UI, no daemon, no web server.
- No DRM bypass, no",,,MATCH,,
c-0012,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,42,owned,concrete,command_name,extract.py is a top-level CLI command in the architecture.,extract.py,"
```
extract.py <url-or-path> [--out-dir DIR] [--max-frames N] [--start T] [--end T]
                         [--no-frames] [--keep-video] [--force] [--force-ocr]
                         [--cookies-from-browser BROWSER]","./distill.py:47:        print(f""no manifest at {manifest_path}; run extract.py first"", file=sys.stderr)
./run.py:1:""""""Convenience wrapper: extract.py -> distill.py.""""""
./docs/audits/2026-05-07/claims.curated.yaml:117:  probe: uv run python extract.py <url-or-path> && uv run python extract.py <url-or",,MATCH,,
c-0013,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,44,owned,concrete,cli_flag,extract.py accepts --cookies-from-browser.,--cookies-from-browser,"extract.py <url-or-path> [--out-dir DIR] [--max-frames N] [--start T] [--end T]
                         [--no-frames] [--keep-video] [--force] [--force-ocr]
                         [--cookies-from-browser BROWSER]
  ├─ resolve source → derive stable source_id (§7)
  ├─ check artifact_manifest.json",probe skipped: disabled,,DRIFT,reconcile sources; vps says: probe skipped: disabled,
c-0014,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,46,owned,behavioral,manifest_skip,extract.py checks artifact_manifest.json and skips completed steps unless --force.,manifest-driven step skipping,,probe skipped: disabled,,UNVERIFIABLE,,
c-0015,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,48,owned,concrete,transcript_chain,extract.py transcript chain is yt-transcript-api -> pytube -> yt-dlp captions -> Whisper.,"['yt-transcript-api', 'pytube', 'yt-dlp captions', 'Whisper']","  ├─ check artifact_manifest.json — skip completed steps unless --force
  ├─ get title (yt-dlp --get-title; for local files: filename stem)
  ├─ fetch transcript (chain): yt-transcript-api → pytube → yt-dlp captions → Whisper
  ├─ download video (yt-dlp) → media_cache/<source_id>/video.<ext>
  ├─ ex",,,UNVERIFIABLE,,
c-0016,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,49,owned,concrete,cache_path,Downloaded video path is media_cache/<source_id>/video.<ext>.,media_cache/<source_id>/video.<ext>,,probe skipped: disabled,,UNVERIFIABLE,,
c-0017,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,52,owned,concrete,enum,"Frame classifier labels are code, slide_text, ui, diagram, and other.","['code', 'slide_text', 'ui', 'diagram', 'other']","  ├─ extract frames (vendored frames.py)
  ├─ OCR every frame with confidence gating (RapidOCR)
  ├─ classify each frame: code | slide_text | ui | diagram | other (§4.3)
  ├─ deduplicate near-identical OCR clusters (§4.5)
  ├─ score quality (transcript, ocr, frame coverage) → extract_meta.json",,,UNVERIFIABLE,,
c-0018,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,58,owned,concrete,command_name,distill.py is a top-level CLI command in the architecture.,distill.py,"  └─ write Generated_Data/<title>/

distill.py <title-or-dir> <style> [--model PROFILE] [--max-vision-frames N]
                                  [--token-budget T] [--dry-run-payload] [--force]
  ├─ load transcript, ocr.json, manifest from Generated_Data/<title>/","./run.py:1:""""""Convenience wrapper: extract.py -> distill.py.""""""
./docs/audits/2026-05-07/claims.curated.yaml:102:  probe: uv run python distill.py <title-or-dir> <style> && grep -Eo 'seg#|frame_[0-9]{3}|t=[0-9]{2}:[0-9]{2}'
./docs/audits/2026-05-07/claims.curated.yaml:245:  claim_text: distill.py is",,MATCH,,
c-0019,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,66,owned,behavioral,dry_run_behavior,"With --dry-run-payload, distill.py writes payload.json and exits before calling the provider.",payload written and no API call,,probe skipped: disabled,,UNVERIFIABLE,,
c-0020,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,71,owned,concrete,command_name,run.py is a convenience command that runs extract then distill.,extract -> distill,"  └─ write Generated_Data/<title>/<title>_<style>.md + distill_result.json

run.py <url-or-path> <style>          # convenience: extract → distill in one shot

models.py doctor --profile <name>     # validates key, text request, image request","./docs/audits/2026-05-07/claims.curated.yaml:273:  expected_value: extract -> distill
./docs/audits/2026-05-07/claims.verified.yaml:419:  expected_value: extract -> distill
./docs/audits/2026-05-07/claims.verified.yaml:429:    extract -> distill'
./docs/audits/2026-05-07/claims.verified.yaml:431:   ",,DRIFT,"reconcile sources; vps says: ./docs/audits/2026-05-07/claims.curated.yaml:273:  expected_value: extract -> distill
./docs/audits/2026-05-07/claims.verified.yaml:419:  expected_value: extract -> distill
./docs/audits/2026-05-07/claims.verified.yaml:429:    extract -> distill'
./docs/audits/2026-05-07/claims.verified.yaml:431:    extract -> distill'",
c-0021,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,73,owned,concrete,subcommand,models.py provides a doctor subcommand with --profile.,doctor --profile <name>,,probe skipped: disabled,,UNVERIFIABLE,,
c-0022,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,81,owned,concrete,file_path,vendor/claude_video/scripts/download.py is listed as a new vendored file.,vendor/claude_video/scripts/download.py,"| Path | Status | Role |
|------|--------|------|
| `vendor/claude_video/scripts/download.py` | new (vendored) | yt-dlp wrapper |
| `vendor/claude_video/scripts/frames.py` | new (vendored) | ffmpeg + auto-fps |
| `vendor/claude_video/scripts/transcribe.py` | new (vendored) | caption parsing + Whispe",path exists: vendor/claude_video/scripts/download.py,,MATCH,,
c-0023,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,97,owned,behavioral,default_delete_behavior,Downloaded video is deleted after extraction unless --keep-video is used.,delete cached video by default,,probe skipped: disabled,,UNVERIFIABLE,,
c-0024,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,101,owned,concrete,output_file,distillation structured sidecar file is <title>_<style>.distill_result.json under Generated_Data/<title>/.,<title>_<style>.distill_result.json,,probe skipped: disabled,,UNVERIFIABLE,,
c-0025,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,103,owned,concrete,frame_filename_pattern,Frame images are named frame_NNN_t-MM-SS.jpg.,frame_NNN_t-MM-SS.jpg,,probe skipped: disabled,,UNVERIFIABLE,,
c-0026,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,104,owned,concrete,output_file,OCR output is stored in Generated_Data/<title>/ocr.json.,ocr.json,,probe skipped: disabled,,UNVERIFIABLE,,
c-0027,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,113,owned,concrete,dependency,OCR library is rapidocr-onnxruntime.,rapidocr-onnxruntime,"### 4.1 Library

`rapidocr-onnxruntime`. Python-only install via `uv add`, no system dependencies. Pinned to a tested range in `pyproject.toml` and re-tested on each Python upgrade (§8.2). Rejected `pytesseract` (system tesseract dep).

### 4.2 Per-frame run with confidence gating",,,MATCH,,
c-0028,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,121,owned,behavioral,confidence_gate,OCR lines with confidence below 0.5 are excluded from high-confidence classification/injection text.,0.5,,,,UNVERIFIABLE,,
c-0029,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,128,owned,concrete,field_replacement,is_code_heavy is replaced by class and class_confidence fields.,"['class', 'class_confidence']","### 4.3 Classification (5-class)

`is_code_heavy` (boolean) is replaced by `class ∈ {code, slide_text, ui, diagram, other}` plus `class_confidence ∈ [0,1]`.

| Class | Heuristic signals (any 2 trigger) | Distill-time treatment |",,,UNVERIFIABLE,,
c-0030,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,140,owned,behavioral,classification_fallback,Frames with class_confidence below 0.6 are treated as other.,0.6,,,,UNVERIFIABLE,,
c-0031,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,148,owned,concrete,algorithm_component,frame_select.py uses imagehash.phash for perceptual hashing.,imagehash.phash,"Algorithm (in `frame_select.py`):

1. Compute a perceptual hash (`imagehash.phash`) for every extracted frame.
2. Compute Hamming distance between consecutive frames.
3. Identify ""change points"" where distance exceeds an adaptive threshold (default: median + 1.5×MAD).",,,MATCH,,
c-0032,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,150,owned,concrete,threshold_formula,Scene-change threshold default is median + 1.5×MAD of consecutive-frame hash distances.,median + 1.5×MAD,"1. Compute a perceptual hash (`imagehash.phash`) for every extracted frame.
2. Compute Hamming distance between consecutive frames.
3. Identify ""change points"" where distance exceeds an adaptive threshold (default: median + 1.5×MAD).
4. For each change point, select the frame *just after* the transi",,,MATCH,,
c-0033,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,153,owned,behavioral,selection_rule,Code-class frames are always excluded from vision payload selection.,exclude code-class frames,,,,UNVERIFIABLE,,
c-0034,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,154,owned,concrete,default_value,Default --max-vision-frames is 16.,16,"5. If selection underflows the budget, fill with even-spacing across remaining gaps.
6. **Always exclude `code`-class frames** — their content is in the transcript already.
7. **Token-budget-aware cap.** Final count = `min(--max-vision-frames, token_budget // est_image_tokens(resolution))`. Default ",probe skipped: disabled,,DRIFT,reconcile sources; vps says: probe skipped: disabled,
c-0035,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,163,owned,concrete,similarity_threshold,OCR dedup clusters use fingerprint similarity threshold >= 0.85 via rapidfuzz token-set ratio.,0.85,"
1. For all frames classified `code`, compute a normalized fingerprint of OCR text (whitespace collapsed, case preserved, comments and trailing punctuation stripped).
2. Cluster frames with fingerprint similarity ≥ 0.85 (rapidfuzz token-set ratio).
3. Within a cluster, keep only frames where the OCR",,,MATCH,,
c-0036,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,173,owned,behavioral,insertion_rule,"Frame OCR/note is inserted immediately after the transcript segment whose [start,end] contains frame.timestamp_seconds.",insert after containing segment,,,,UNVERIFIABLE,,
c-0037,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,183,owned,concrete,config_file,Model profiles are configured in models.yaml at repo root.,models.yaml,"### 5.1 Reconfigurable model layer

All model config in **`models.yaml`** at the repo root:

```yaml",,,MATCH,,
c-0038,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,186,owned,concrete,default_profile,Default model profile is gemini-3-flash.,gemini-3-flash,"
```yaml
default: gemini-3-flash

profiles:",,,MATCH,,
c-0039,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,191,owned,concrete,model_id,Profile gemini-3-flash maps to model google/gemini-3-flash-preview.,google/gemini-3-flash-preview,"  gemini-3-flash:
    base_url: https://openrouter.ai/api/v1
    model: google/gemini-3-flash-preview
    vision: true
    reasoning: true",,,MATCH,,
c-0040,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,195,owned,concrete,max_images,Profile gemini-3-flash sets max_images to 16.,16,"    reasoning: true
    api_key_env: OPENROUTER_API_KEY
    max_images: 16          # provider/model hint, validated by `doctor`
    max_image_bytes: 5242880
",,,MATCH,,
c-0041,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,196,owned,concrete,max_image_bytes,Profile gemini-3-flash sets max_image_bytes to 5242880.,5242880,"    api_key_env: OPENROUTER_API_KEY
    max_images: 16          # provider/model hint, validated by `doctor`
    max_image_bytes: 5242880

  gemini-3-pro:",,,MATCH,,
c-0042,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,219,owned,concrete,env_var,Profile gpt-4o uses OPENAI_API_KEY via api_key_env.,OPENAI_API_KEY,,probe skipped: disabled,OPENAI_API_KEY not present in any env file,DRIFT,reconcile sources; vps says: OPENAI_API_KEY not present in any env file,
c-0043,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,223,owned,concrete,resolution_order,"Model profile resolution order is CLI flag, then DISTILL_MODEL env var, then models.yaml default.","['CLI', 'DISTILL_MODEL', 'models.yaml default']","```

**Resolution order:** CLI flag (`--model gemini-3-pro`) → env var (`DISTILL_MODEL=gemini-3-pro`) → `models.yaml` `default`. Adding a new model = one YAML entry, zero code changes.

### 5.2 Capability validation (`models.py doctor`)",,,UNVERIFIABLE,,
c-0044,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,229,owned,behavioral,doctor_check,models.py doctor verifies api_key_env is set in env or .env.,api_key_env must be set,,probe skipped: disabled,,UNVERIFIABLE,,
c-0045,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,230,owned,behavioral,doctor_probe,models.py doctor sends a 5-token text request and requires non-empty response.,non-empty response from 5-token text probe,,probe skipped: disabled,,UNVERIFIABLE,,
c-0046,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,231,owned,behavioral,vision_probe,"For vision=true profiles, doctor sends a probe with one 32x32 fixture image and requires non-empty response without schema error.",32x32 image probe passes,,probe skipped: disabled,,UNVERIFIABLE,,
c-0047,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,235,owned,concrete,cache_path,Doctor cache files are stored under ~/.cache/youtube-transcripts/model_doctor_<profile>_<hash>.json.,~/.cache/youtube-transcripts/model_doctor_<profile>_<hash>.json,,probe skipped: disabled,,UNVERIFIABLE,,
c-0048,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,235,owned,behavioral,fallback_behavior,"If doctor validation fails in distill.py, processing falls back to text-only path and records a warning in distill_result.json.",text-only fallback with warning,,,,UNVERIFIABLE,,
c-0049,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,286,owned,concrete,canonical_output,distill_result.json is the canonical output and markdown is rendered from it.,distill_result.json,"### 5.6 Output: markdown + structured sidecar

**`distill_result.json`** is the canonical output. The markdown is rendered from it.

```json",,,MATCH,,
c-0050,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,290,owned,concrete,schema_version,distill_result.json example uses schema_version 1.,1,"```json
{
  ""schema_version"": 1,
  ""source_id"": ""yt:KE39P4qBjDk"",
  ""title"": ""How_to_Build_a_RAG_Pipeline"",",,,MATCH,,
c-0051,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,320,owned,concrete,citation_token,seg#NNN is a valid citation token for transcript segment ID.,seg#NNN,"**Citation tokens** that may appear in any output text:

- `seg#NNN` — transcript segment ID (segments numbered sequentially in `*_formatted_transcript.txt` after parsing).
- `frame_NNN` — short form of `frame_NNN_t-MM-SS`.
- `frame_NNN_t-MM-SS` — fully-qualified frame ID with timestamp.",,,MATCH,,
c-0052,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,322,owned,concrete,citation_token,frame_NNN_t-MM-SS is a valid fully-qualified frame citation token.,frame_NNN_t-MM-SS,"- `seg#NNN` — transcript segment ID (segments numbered sequentially in `*_formatted_transcript.txt` after parsing).
- `frame_NNN` — short form of `frame_NNN_t-MM-SS`.
- `frame_NNN_t-MM-SS` — fully-qualified frame ID with timestamp.
- `cluster_id=cN` — OCR dedup cluster (groups equivalent code-frame ",,,MATCH,,
c-0053,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,326,owned,behavioral,citation_validation,Unresolved citations cause distill to fail with a structured error listing each unresolved citation.,distill fails on unresolved citations,,,,UNVERIFIABLE,,
c-0054,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,334,owned,concrete,frontmatter_field,Output frontmatter includes citations.unresolved.,citations.unresolved,,,,UNVERIFIABLE,,
c-0055,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,344,owned,behavioral,banner_condition,"If unresolved citations are greater than zero, output markdown gets a top banner noting the issue.",banner added when unresolved > 0,,,,UNVERIFIABLE,,
c-0056,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,354,owned,concrete,source_id_format,YouTube source_id format is yt:<video_id>.,yt:<video_id>,"| Source type | `source_id` |
|-------------|-------------|
| YouTube URL | `yt:<video_id>` |
| TikTok / Vimeo / X / Loom | `<platform>:<id>` from yt-dlp's extractor info |
| Other yt-dlp source | `web:<sha1(canonical_url)[:12]>` |",,,MATCH,,
c-0057,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,357,owned,concrete,source_id_format,Local file source_id format is local:<sha1(absolute_path)[:12]>.,local:<sha1(absolute_path)[:12]>,"| TikTok / Vimeo / X / Loom | `<platform>:<id>` from yt-dlp's extractor info |
| Other yt-dlp source | `web:<sha1(canonical_url)[:12]>` |
| Local file | `local:<sha1(absolute_path)[:12]>` |

If `--start` / `--end` was used, the source_id is suffixed (`yt:abc123#15-45`). This means the same video at ",,,MATCH,,
c-0058,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,359,owned,behavioral,clip_suffix,Using --start/--end suffixes source_id with clip range like yt:abc123#15-45.,source_id includes #start-end suffix,,,,UNVERIFIABLE,,
c-0059,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,367,owned,concrete,manifest_schema,artifact_manifest.json example uses schema_version 1.,1,"```json
{
  ""schema_version"": 1,
  ""source_id"": ""yt:KE39P4qBjDk"",
  ""source_url"": ""https://..."",",,,MATCH,,
c-0060,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,408,owned,behavioral,force_semantics,Video download step is skipped when cached video exists and manifest args match; --force reruns it.,skip download unless --force,,,,UNVERIFIABLE,,
c-0061,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,411,owned,behavioral,force_semantics,OCR step reruns with extract.py --force-ocr even when same ocr_version is already recorded for the frame set.,--force-ocr reruns OCR,,,,UNVERIFIABLE,,
c-0062,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,414,owned,behavioral,corruption_recovery,"If an artifact is missing or hash-mismatched, the corresponding step reruns without requiring --force.",auto rebuild on missing/corrupt artifact,,,,UNVERIFIABLE,,
c-0063,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,431,owned,behavioral,safe_delete,clean.py defaults to dry-run listing and requires --apply for actual deletion.,no deletion without --apply,,probe skipped: disabled,,UNVERIFIABLE,,
c-0064,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,448,owned,behavioral,error_handling,"When yt-dlp is rate-limited (429), the tool reports rate-limited, does not auto-retry, and exits 1.",exit code 1 and no auto-retry on 429,,,,UNVERIFIABLE,,
c-0065,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,451,owned,behavioral,error_handling,"If ffmpeg or yt-dlp is missing, setup.py --check runs and process exits with code 2.",2,,,,UNVERIFIABLE,,
c-0066,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,459,owned,behavioral,error_handling,"If citation validation fails, distill.py exits 1 and output files are still written but flagged.",exit 1 with flagged outputs,,,,UNVERIFIABLE,,
c-0067,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,465,owned,concrete,dependency_range,"rapidocr-onnxruntime is pinned to >=1.4,<2.0.",">=1.4,<2.0","**Python deps** (added to `pyproject.toml`):

- `rapidocr-onnxruntime` (pinned to a tested range, e.g. `>=1.4,<2.0`)
- `pillow` (image handling, base64)
- `pyyaml` (`models.yaml`)",,,MATCH,,
c-0068,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,471,owned,concrete,python_version_range,"Python version is pinned to >=3.10,<3.13.",">=3.10,<3.13","- `rapidfuzz` (OCR dedup similarity)

**Python version:** Pin to `>=3.10,<3.13` initially (`rapidocr-onnxruntime` packaging has historically had Python-version friction). Re-test on each Python upgrade as a CI gate.

**System deps** (existing): `ffmpeg`, `yt-dlp`. Vendored `setup.py` detects them.",,,MATCH,,
c-0069,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,477,owned,concrete,env_var,OPENROUTER_API_KEY is required for the default profile.,OPENROUTER_API_KEY,,probe skipped: disabled,OPENROUTER_API_KEY not present in any env file,DRIFT,reconcile sources; vps says: OPENROUTER_API_KEY not present in any env file,
c-0070,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,478,owned,concrete,env_var,Whisper fallback requires GROQ_API_KEY or OPENAI_API_KEY.,"['GROQ_API_KEY', 'OPENAI_API_KEY']",,"./transform_transcript.sh:2:# Transform a transcript using a style guide via OpenRouter (openrouter/free)
./transform_transcript.sh:3:# Usage: ./transform_transcript.sh <video_dir> <style_name>
./transform_transcript.sh:4:# Requires OPENROUTER_API_KEY in environment or .env
./transform_transcript.sh","['GROQ_API_KEY', 'OPENAI_API_KEY'] not present in any env file",DRIFT,"reconcile sources; vps says: ['GROQ_API_KEY', 'OPENAI_API_KEY'] not present in any env file",
c-0071,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,485,owned,concrete,enum,"transcript_quality values are high, medium, low, none.","['high', 'medium', 'low', 'none']","Three grades, computed at extract time, stored alongside the file paths:

- `transcript_quality` ∈ {`high`, `medium`, `low`, `none`}
  - `high` — captions returned by youtube-transcript-api or yt-dlp captions, language match.
  - `medium` — Whisper fallback used, or captions via pytube (less reliabl",,,UNVERIFIABLE,,
c-0072,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,491,owned,concrete,thresholds,"ocr_quality thresholds are >=0.85 high, 0.65-0.85 medium, and <0.65 low.","{'high': '>=0.85', 'medium': '0.65-0.85', 'low': '<0.65'}","  - `none` — no transcript at all.
- `ocr_quality` ∈ {`high`, `medium`, `low`, `none`}
  - Mean per-frame confidence: ≥0.85 high, 0.65–0.85 medium, <0.65 low. `none` if no frames.
- `vision_frame_coverage` ∈ {`high`, `medium`, `low`} based on (selected_non_code_frames / duration_minutes).
",,,UNVERIFIABLE,,
c-0073,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,500,owned,concrete,test_fixture_count,"Unit classifier fixture set contains 15 frames (3 each for code, slides, UI, diagrams, mixed/other).",15,"**Unit:**

- `frame_ocr.py` classifier against a 15-frame fixture set (3 IDE/code, 3 slides, 3 UI, 3 diagrams, 3 mixed/other) committed to `tests/fixtures/`.
- `frame_ocr.py` deduplication: synthetic OCR-text inputs assert correct cluster grouping and representative selection.
- `frame_select.py`: d",,,MATCH,,
c-0074,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,510,owned,concrete,test_fixture_path,Integration test video fixture path is tests/fixtures/test_video.mp4 and duration is 30 seconds.,tests/fixtures/test_video.mp4,"**Integration:**

- `extract.py` against a 30-second public-domain test video committed to `tests/fixtures/test_video.mp4` — assert all expected files land, hashes recorded.
- `extract.py` resumability: run, delete one artifact, re-run without `--force` → only the missing artifact is rebuilt.
- `--s",,,MATCH,,
